,0
2018-11-29,0.8
2018-11-30,0.2
2018-12-01,0.4
2018-12-02,0.8
2018-12-04,0.6
2018-12-05,0.8
2018-12-06,0.5840909090909091
2018-12-08,0.5666666666666668
2018-12-10,0.18
2018-12-11,0.4666666666666666
2018-12-13,0.4681818181818182
2018-12-15,0.5833333333333334
2018-12-19,0.675
2018-12-25,0.65
2018-12-26,0.3333333333333333
2018-12-27,0.75
